pulse_id,pdw_id,assigned_track_id,candidate_track_id,frequency_score,pri_score,pw_score,confidence_score,total_score,decision_threshold,accepted,rejection_reason
34,1034,,1,0.0,0.0,0.0,0.8534,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
34,1034,,2,0.0,0.0,0.0,0.8534,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
34,1034,,3,0.0,0.0,0.0,0.8534,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
34,1034,4,4,1.0,1.0,1.0,0.8534,1.2353,0.6,True,
35,1035,,1,0.0,0.0,0.0,0.684,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
35,1035,,2,1.0,0.0,0.0439,0.684,0.0,0.6,False,Timing residual (110.0 us) > tol (26.4 us)
35,1035,3,3,1.0,1.0,0.2483,0.684,1.1056,0.6,True,
35,1035,,4,0.0,0.0,0.0,0.684,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
36,1036,,1,0.0,0.0,0.0,0.8572,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
36,1036,,2,0.0,0.0,0.0,0.8572,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
36,1036,,3,0.0,0.0,0.0,0.8572,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
36,1036,4,4,1.0,1.0,1.0,0.8572,1.2357,0.6,True,
37,1037,1,1,1.0,1.0,0.9831,0.9796,1.2454,0.6,True,
37,1037,,2,0.0,0.0,0.0,0.9796,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
37,1037,,3,0.0,0.0,0.0,0.9796,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
37,1037,,4,0.0,0.0,0.0,0.9796,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
38,1038,,1,0.0,0.0,0.0,0.7451,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
38,1038,2,2,1.0,1.0,0.6042,0.7451,1.1651,0.6,True,
38,1038,,3,1.0,0.0,0.9279,0.7451,0.0,0.6,False,Timing residual (110.0 us) > tol (26.4 us)
38,1038,,4,0.0,0.0,0.0,0.7451,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
39,1039,1,1,1.0,1.0,0.9843,0.9791,1.2456,0.6,True,
